                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.5142,                0.84133,                 1.1105,                0.65521,                0.68429,                0.60684,                0.24972,                 2.2144,                 1.0483,                 1.4866,              0.0011224,              0.0011224,              0.0011224
                     35,                 1.4676,                0.82397,                 1.0897,                0.60607,                0.60298,                0.54109,                0.24983,                 2.2334,                  1.082,                 1.5523,              0.0011059,              0.0011059,              0.0011059
                     36,                 1.4589,                0.80232,                  1.093,                0.60182,                0.61143,                0.56153,                0.22535,                 2.3477,                 1.1132,                 1.5696,              0.0010894,              0.0010894,              0.0010894
                     37,                  1.457,                0.80272,                 1.0807,                0.66324,                0.67569,                0.61762,                  0.258,                 2.2521,                0.99394,                 1.4905,              0.0010729,              0.0010729,              0.0010729
                     38,                 1.4561,                0.80835,                 1.0842,                 0.6831,                0.65429,                0.61823,                0.25329,                 2.2369,                0.95631,                  1.543,              0.0010564,              0.0010564,              0.0010564
                     39,                 1.4644,                0.79873,                 1.1137,                0.71464,                0.71629,                0.64924,                0.25989,                 2.2112,                 0.9968,                 1.5167,              0.0010399,              0.0010399,              0.0010399
                     40,                  1.452,                0.78809,                 1.0975,                0.74131,                0.72105,                0.67002,                0.27472,                 2.2171,                 1.0204,                 1.4873,              0.0010234,              0.0010234,              0.0010234
                     41,                 1.4105,                0.79035,                 1.1027,                0.71124,                0.74143,                0.65332,                 0.2639,                 2.1845,                 1.0511,                 1.4741,              0.0010069,              0.0010069,              0.0010069
                     42,                 1.3752,                0.76726,                 1.0778,                0.68479,                0.72961,                0.66278,                0.26477,                 2.1479,                 1.0448,                 1.4618,             0.00099036,             0.00099036,             0.00099036
                     43,                 1.4145,                0.77105,                 1.0927,                 0.7244,                0.73779,                0.65292,                0.25038,                 2.1809,                 1.0304,                  1.477,             0.00097386,             0.00097386,             0.00097386
                     44,                  1.429,                0.78272,                 1.0716,                0.64571,                0.66178,                0.58967,                0.24139,                 2.2228,                 1.0491,                 1.5063,             0.00095736,             0.00095736,             0.00095736
                     45,                 1.3984,                0.78922,                  1.085,                0.64256,                0.64302,                0.60594,                0.25012,                 2.1998,                 1.0086,                 1.4688,             0.00094085,             0.00094085,             0.00094085
                     46,                  1.356,                0.76128,                 1.0769,                0.63378,                0.73714,                0.63688,                0.27807,                 2.1287,                0.95029,                 1.4406,             0.00092435,             0.00092435,             0.00092435
                     47,                  1.333,                0.75272,                 1.0661,                0.63908,                0.70104,                0.58804,                0.23819,                 2.2626,                 0.9693,                  1.541,             0.00090785,             0.00090785,             0.00090785
                     48,                 1.3502,                0.73754,                 1.0615,                0.60055,                0.59287,                0.50119,                0.19796,                 2.4758,                 1.0445,                 1.6595,             0.00089134,             0.00089134,             0.00089134
                     49,                 1.3723,                0.74919,                   1.07,                0.60285,                0.59429,                0.49745,                 0.1904,                 2.5074,                 1.0318,                  1.647,             0.00087484,             0.00087484,             0.00087484
                     50,                 1.4066,                0.76486,                 1.0797,                0.66385,                0.66499,                0.55316,                 0.1983,                 2.4839,                 1.0015,                 1.6404,             0.00085834,             0.00085834,             0.00085834
                     51,                 1.3801,                0.74127,                 1.0581,                 0.6389,                0.68714,                0.60074,                0.22991,                  2.378,                 1.0082,                  1.573,             0.00084184,             0.00084184,             0.00084184
                     52,                 1.3491,                 0.7518,                 1.0623,                0.71643,                0.68482,                0.64392,                0.27955,                  2.173,                0.97589,                 1.4741,             0.00082533,             0.00082533,             0.00082533
