                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.5178,                0.83562,                 1.1133,                0.56139,                0.62483,                0.51081,                0.22252,                 2.2891,                 1.0117,                 1.5641,              0.0011224,              0.0011224,              0.0011224
                     35,                 1.4787,                0.82108,                 1.0946,                0.55663,                0.54597,                0.47211,                0.18419,                  2.517,                 1.1154,                 1.7024,              0.0011059,              0.0011059,              0.0011059
                     36,                 1.4494,                0.79853,                 1.0952,                0.60807,                0.59479,                0.54682,                0.19944,                 2.4557,                 1.1551,                  1.601,              0.0010894,              0.0010894,              0.0010894
                     37,                 1.4454,                0.79758,                  1.079,                0.64631,                0.65916,                0.60152,                0.25805,                 2.1845,                 1.0659,                  1.474,              0.0010729,              0.0010729,              0.0010729
                     38,                 1.4612,                0.81936,                 1.0854,                0.68738,                0.66458,                0.60009,                0.25908,                 2.1572,                 1.0178,                 1.4804,              0.0010564,              0.0010564,              0.0010564
                     39,                 1.4627,                0.81587,                 1.1135,                 0.6371,                0.64143,                0.58863,                0.24054,                 2.2398,                 1.0753,                 1.5144,              0.0010399,              0.0010399,              0.0010399
                     40,                 1.4533,                0.78983,                 1.0996,                0.64882,                0.65571,                0.58006,                0.24841,                 2.1852,                 1.0454,                 1.4938,              0.0010234,              0.0010234,              0.0010234
                     41,                 1.4084,                0.78156,                 1.0997,                0.67143,                0.70988,                0.60726,                0.23668,                  2.233,                0.99072,                 1.5268,              0.0010069,              0.0010069,              0.0010069
                     42,                 1.3881,                0.76561,                 1.0787,                0.61247,                   0.67,                0.55827,                0.23012,                 2.2501,                 1.0148,                 1.5403,             0.00099036,             0.00099036,             0.00099036
                     43,                 1.4179,                0.77821,                 1.0884,                0.66521,                   0.66,                0.57055,                0.24502,                 2.2876,                 1.0285,                 1.5474,             0.00097386,             0.00097386,             0.00097386
                     44,                 1.4236,                0.78192,                 1.0691,                0.69094,                0.65299,                0.59227,                0.24651,                 2.2663,                 1.0516,                 1.5288,             0.00095736,             0.00095736,             0.00095736
                     45,                 1.4036,                0.78322,                 1.0876,                0.66731,                0.72286,                0.62092,                0.26195,                 2.1671,                0.99943,                 1.4294,             0.00094085,             0.00094085,             0.00094085
                     46,                 1.3615,                0.76455,                 1.0801,                0.64033,                0.72594,                0.64521,                0.27272,                 2.0865,                0.97587,                 1.3955,             0.00092435,             0.00092435,             0.00092435
                     47,                 1.3229,                0.75028,                 1.0658,                0.66834,                0.68721,                0.59286,                0.22574,                 2.3203,                   0.98,                 1.5661,             0.00090785,             0.00090785,             0.00090785
                     48,                  1.346,                0.73745,                 1.0613,                0.61823,                0.64788,                0.51947,                0.18633,                 2.4496,                 1.0148,                  1.644,             0.00089134,             0.00089134,             0.00089134
                     49,                 1.3622,                0.73862,                  1.068,                0.61332,                0.64369,                0.52594,                0.18285,                  2.457,                 1.0034,                 1.6254,             0.00087484,             0.00087484,             0.00087484
                     50,                  1.409,                0.75945,                  1.082,                0.62961,                0.62772,                0.50978,                0.18627,                 2.5171,                0.98581,                 1.6818,             0.00085834,             0.00085834,             0.00085834
                     51,                 1.3599,                0.73398,                 1.0529,                 0.6097,                   0.64,                0.51082,                0.21492,                 2.3928,                0.97223,                 1.6442,             0.00084184,             0.00084184,             0.00084184
                     52,                 1.3308,                0.74134,                 1.0567,                0.63968,                0.66836,                 0.5794,                0.24766,                 2.2522,                 0.9526,                 1.5669,             0.00082533,             0.00082533,             0.00082533
                     53,                 1.4001,                0.75268,                 1.0566,                0.65741,                0.74734,                0.63662,                0.26497,                  2.194,                0.94113,                 1.5171,             0.00080883,             0.00080883,             0.00080883
                     54,                 1.3436,                0.73384,                 1.0585,                0.61259,                0.68769,                0.54498,                0.21275,                 2.3844,                0.95605,                 1.6152,             0.00079233,             0.00079233,             0.00079233
                     55,                 1.3765,                 0.7383,                 1.0587,                0.66068,                0.68584,                 0.6044,                0.23241,                 2.3209,                0.97907,                 1.5812,             0.00077582,             0.00077582,             0.00077582
                     56,                 1.2973,                0.72881,                 1.0592,                0.66635,                0.66262,                0.61789,                0.24453,                 2.2669,                0.95648,                 1.5297,             0.00075932,             0.00075932,             0.00075932
                     57,                 1.3344,                  0.718,                 1.0493,                0.73396,                0.68975,                0.66958,                0.25069,                 2.2575,                 0.9375,                 1.5016,             0.00074282,             0.00074282,             0.00074282
                     58,                 1.3378,                0.72267,                 1.0496,                0.71465,                0.74029,                0.65993,                0.25326,                 2.2625,                0.92568,                 1.4868,             0.00072631,             0.00072631,             0.00072631
                     59,                 1.3173,                0.71469,                 1.0436,                0.77275,                 0.7965,                0.73093,                0.26473,                 2.1978,                0.92188,                 1.4584,             0.00070981,             0.00070981,             0.00070981
                     60,                 1.2903,                0.73859,                  1.062,                0.73177,                0.73714,                0.67343,                0.25053,                 2.2129,                0.93033,                 1.4818,             0.00069331,             0.00069331,             0.00069331
                     61,                 1.3359,                0.72833,                 1.0594,                0.68792,                0.69525,                0.63999,                0.25777,                  2.239,                0.99625,                  1.505,              0.0006768,              0.0006768,              0.0006768
                     62,                 1.3218,                0.73171,                 1.0595,                0.67791,                 0.6836,                0.63001,                0.27358,                 2.1699,                0.97838,                 1.4654,              0.0006603,              0.0006603,              0.0006603
                     63,                 1.3136,                0.71576,                 1.0589,                0.70384,                0.67857,                 0.6368,                0.26208,                 2.1607,                0.96801,                 1.4712,              0.0006438,              0.0006438,              0.0006438
                     64,                 1.3312,                0.72579,                 1.0438,                0.71521,                0.69305,                0.63449,                 0.2564,                 2.1745,                0.99089,                 1.5011,             0.00062729,             0.00062729,             0.00062729
                     65,                 1.3032,                0.71469,                 1.0407,                0.66382,                0.64584,                0.57742,                0.23726,                 2.2109,                 1.0063,                 1.5373,             0.00061079,             0.00061079,             0.00061079
                     66,                 1.2636,                0.68862,                  1.035,                0.67622,                0.66161,                0.58682,                 0.2393,                 2.2315,                0.98011,                 1.5513,             0.00059429,             0.00059429,             0.00059429
                     67,                 1.3047,                0.70159,                 1.0318,                 0.6617,                   0.66,                0.56395,                0.23077,                 2.2062,                 0.9505,                 1.5381,             0.00057778,             0.00057778,             0.00057778
                     68,                 1.3001,                0.68884,                 1.0466,                0.64098,                   0.65,                 0.5486,                0.22414,                 2.2591,                0.96166,                 1.5621,             0.00056128,             0.00056128,             0.00056128
                     69,                  1.261,                0.70641,                 1.0286,                0.64051,                0.62646,                0.55642,                0.22656,                 2.3095,                0.97055,                 1.5788,             0.00054478,             0.00054478,             0.00054478
                     70,                 1.2934,                0.70069,                 1.0283,                 0.6788,                0.66429,                0.61132,                0.23426,                 2.2643,                0.97297,                 1.5506,             0.00052827,             0.00052827,             0.00052827
                     71,                 1.2918,                0.69748,                 1.0421,                0.68622,                0.69286,                0.61045,                 0.2508,                 2.2278,                0.98878,                 1.5449,             0.00051177,             0.00051177,             0.00051177
                     72,                  1.246,                 0.6747,                 1.0248,                 0.6924,                0.64857,                 0.5873,                0.25465,                 2.2579,                 1.0009,                 1.5487,             0.00049527,             0.00049527,             0.00049527
                     73,                 1.2372,                0.68272,                 1.0326,                0.71609,                0.73714,                0.65178,                0.27409,                 2.2557,                 0.9589,                 1.5084,             0.00047876,             0.00047876,             0.00047876
